<<<<<<< HEAD
1.009000000000000000e+03 4.632952212569394490e-01
1.063000000000000000e+03 4.610410369901926653e-01
1.115000000000000000e+03 4.615451088957677750e-01
1.048000000000000000e+03 4.661238689529744739e-01
8.280000000000000000e+02 4.573647180310803084e-01
6.670000000000000000e+02 4.710923923387088097e-01
1.836000000000000000e+03 4.600279633722680339e-01
8.280000000000000000e+02 4.644270462157302770e-01
1.039000000000000000e+03 4.697265969737385860e-01
1.078000000000000000e+03 4.577813658645136785e-01
8.170000000000000000e+02 4.697781181514981141e-01
9.320000000000000000e+02 4.738560618818939418e-01
8.160000000000000000e+02 4.645400311198598087e-01
8.580000000000000000e+02 4.701217684897175397e-01
8.760000000000000000e+02 4.677405743360257273e-01
1.638000000000000000e+03 4.544798212312316510e-01
1.315000000000000000e+03 4.614039910037107672e-01
1.146000000000000000e+03 4.629028532168630305e-01
1.155000000000000000e+03 4.665094467413792856e-01
8.130000000000000000e+02 4.642245132395359519e-01
7.720000000000000000e+02 4.703123521546764829e-01
1.002000000000000000e+03 4.622912203149681654e-01
8.250000000000000000e+02 4.536082220348868210e-01
9.890000000000000000e+02 4.609110027707694068e-01
1.028000000000000000e+03 4.655572502302367521e-01
8.500000000000000000e+02 4.608207303855201831e-01
5.410000000000000000e+02 4.691802906488025671e-01
8.580000000000000000e+02 4.653650061033329233e-01
9.350000000000000000e+02 4.652681777958342924e-01
7.310000000000000000e+02 4.710408858839831292e-01
1.284000000000000000e+03 4.563798216985825440e-01
1.158000000000000000e+03 4.589913208920617382e-01
1.093000000000000000e+03 4.605148335952315986e-01
9.230000000000000000e+02 4.573166874129849790e-01
1.935000000000000000e+03 4.639799621781201533e-01
1.156000000000000000e+03 4.480799548557841683e-01
7.960000000000000000e+02 4.579211807771448317e-01
7.860000000000000000e+02 4.540235401118624670e-01
9.400000000000000000e+02 4.661263340341422756e-01
1.801000000000000000e+03 4.608205696639823268e-01
=======
1.009000000000000000e+03 1.097413852698323126e+03
1.063000000000000000e+03 1.108109175825622515e+03
1.115000000000000000e+03 9.435595447314215107e+02
1.048000000000000000e+03 1.174948743903077002e+03
8.280000000000000000e+02 7.115717212510794525e+02
6.670000000000000000e+02 5.474998713672816848e+02
1.836000000000000000e+03 1.367204058095164555e+03
8.280000000000000000e+02 8.943721096685166003e+02
1.039000000000000000e+03 8.360490208771402649e+02
1.078000000000000000e+03 1.145346520854542405e+03
8.170000000000000000e+02 7.715531535867067987e+02
9.320000000000000000e+02 8.165542530048801382e+02
8.160000000000000000e+02 9.223660741959727147e+02
8.580000000000000000e+02 9.395205161164248011e+02
8.760000000000000000e+02 8.774992257960387860e+02
1.638000000000000000e+03 1.344799613659709394e+03
1.315000000000000000e+03 1.155959093189215764e+03
1.146000000000000000e+03 1.140959035672895197e+03
1.155000000000000000e+03 1.115655329119443650e+03
8.130000000000000000e+02 9.104032210042540783e+02
7.720000000000000000e+02 7.088626025630586582e+02
1.002000000000000000e+03 6.946784777997274887e+02
8.250000000000000000e+02 6.745927701304542552e+02
9.890000000000000000e+02 9.067640804460863819e+02
1.028000000000000000e+03 1.192522361841040492e+03
8.500000000000000000e+02 8.825022404159677762e+02
5.410000000000000000e+02 4.068256902298120963e+02
8.580000000000000000e+02 9.121617989127195187e+02
9.350000000000000000e+02 1.019775753959459166e+03
7.310000000000000000e+02 7.279066306822302295e+02
1.284000000000000000e+03 1.133153563735172838e+03
1.158000000000000000e+03 1.043870955290237134e+03
1.093000000000000000e+03 1.041814436131432331e+03
9.230000000000000000e+02 9.335750260836747429e+02
1.935000000000000000e+03 1.214733999781488365e+03
1.156000000000000000e+03 9.276077742893465938e+02
7.960000000000000000e+02 9.924038324954133259e+02
7.860000000000000000e+02 7.908975508184773844e+02
9.400000000000000000e+02 1.029096362787936869e+03
1.801000000000000000e+03 1.456757878062344389e+03
>>>>>>> 8082ad2d9dbc95abdcbef71f3c75ee44c1e57757
